project, module, line
astropy_astropy,_ndarray_representer,46
scipy_scipy,NdPPoly.__init__,714
scipy_scipy,NdPPoly.__init__,731
scipy_scipy,_PPolyBase.__init__,285
scipy_scipy,_PPolyBase.__init__,311
scipy_scipy,_PPolyBase.__call__,394
scipy_scipy,NdPPoly.__call__,765
scipy_scipy,atleast_1d_and_contiguous,8
scipy_scipy,_as_float_array,169
scipy_scipy,BSpline.__call__,91
scipy_scipy,make_lsq_spline,300
scipy_scipy,BSpline.__init__,32
scipy_scipy,BSpline.__init__,59
scipy_scipy,make_interp_spline,187
scipy_scipy,make_interp_spline,195
scipy_scipy,make_interp_spline,262
scipy_scipy,VarReader4.read_sparse_array,118
scipy_scipy,VarReader4.read_sparse_array,119
scipy_scipy,VarReader4.read_sparse_array,123
scipy_scipy,VarReader4.read_sparse_array,125
scipy_scipy,solve_toeplitz,182
scipy_scipy,solve_toeplitz,186
scipy_scipy,zoom,180
scipy_scipy,_complex2real,125
scipy_scipy,_real2complex,122
scipy_scipy,max_len_seq,19
scipy_scipy,_UpFIRDn.__init__,28
scipy_scipy,_convert_to_double,24
scipy_scipy,squareform,433
scipy_scipy,_convert_to_bool,21
sklearn_sklearn,_kmeans_single_elkan,150
sklearn_sklearn,MiniBatchKMeans.partial_fit,482
sklearn_sklearn,MiniBatchKMeans.fit,419
