project, module, line
scipy_scipy,solve,29
scipy_scipy,seed,24
scipy_scipy,iddp_svd,96
scipy_scipy,idd_id2svd,71
scipy_scipy,idd_copycols,66
scipy_scipy,idzr_aid,353
scipy_scipy,iddp_asvd,127
scipy_scipy,iddr_aid,167
scipy_scipy,idd_reconid,54
scipy_scipy,idzr_svd,274
scipy_scipy,iddp_id,38
scipy_scipy,idz_estrank,304
scipy_scipy,idz_id2svd,257
scipy_scipy,iddp_aid,108
scipy_scipy,idzp_aid,294
scipy_scipy,idzp_id,224
scipy_scipy,idz_copycols,252
scipy_scipy,idz_reconid,240
scipy_scipy,iddr_svd,88
scipy_scipy,idzp_asvd,313
scipy_scipy,iddr_id,46
scipy_scipy,iddr_asvd,183
scipy_scipy,id_srandi,13
scipy_scipy,idzr_id,232
scipy_scipy,idd_estrank,118
scipy_scipy,idzr_asvd,369
scipy_scipy,idzp_svd,282
scipy_scipy,TestTRMM.test_b_overwrites,519
sklearn_sklearn,test_k_means_fortran_aligned_data,189
sklearn_sklearn,_update_dict,101
sklearn_sklearn,BaseGradientBoosting.fit,668
sklearn_sklearn,test_mem_layout,352
sklearn_sklearn,test_mem_layout,369
sklearn_sklearn,MultiTaskElasticNet.fit,448
sklearn_sklearn,enet_path,93
sklearn_sklearn,enet_path,95
sklearn_sklearn,_gram_omp,73
sklearn_sklearn,orthogonal_mp,150
sklearn_sklearn,_cholesky_omp,24
sklearn_sklearn,test_bad_input,293
sklearn_sklearn,BaseDecisionTree.fit,171
sklearn_sklearn,test_min_samples_split,314
sklearn_sklearn,test_error,291
sklearn_sklearn,test_min_impurity_split,373
sklearn_sklearn,test_min_samples_leaf,328
sklearn_sklearn,test_as_float_array,41
nilearn_nilearn,_permuted_ols_on_chunk,58
nilearn_nilearn,permuted_ols,76
skimage_skimage,test_memory_order,25
mne_python,_mixed_norm_solver_bcd,161
mne_python,mixed_norm_solver,239
mne_python,_tf_mixed_norm_solver_bcd_,451
mne_python,_single_epoch_tfr,92
