project, module, line
astropy_astropy,Kernel.normalize,57
scipy_scipy,zoom,178
scipy_scipy,spmatrix._divide,271
scipy_scipy,spmatrix._divide,286
scipy_scipy,spmatrix._divide,290
scipy_scipy,_ttest_ind_from_stats,1014
scipy_scipy,ttest_rel,1095
scipy_scipy,ttest_1samp,1000
sklearn_sklearn,module,50
sklearn_sklearn,module,50
sklearn_sklearn,module,50
matplotlib_matplotlib,entropy,426
matplotlib_matplotlib,cohere_pairs,396
matplotlib_matplotlib,cohere,348
matplotlib_matplotlib,LogTransformBase.transform_non_affine,61
matplotlib_matplotlib,Axes.pie,795
pandas_pandas,TestTimedeltaIndex.test_ufunc_coercions,738
pandas_pandas,TestInt64Index.test_ufunc_coercions,699
dask_dask,module,19
dask_dask,module,19
dask_dask,module,19
dask_dask,divide,26
markovmodel_msmtools,transition_matrix_non_reversible,14
markovmodel_msmtools,transition_matrix_reversible_fixpi,101
markovmodel_msmtools,transition_matrix_reversible_fixpi,105
markovmodel_msmtools,transition_matrix_reversible_fixpi,113
poliastro_poliastro,_tof_equation,96
poliastro_poliastro,_tof_equation,96
poliastro_poliastro,_kepler,69
skimage_skimage,match_template,50
