project, module, line
astropy_astropy,CartesianRepresentation.transform,301
astropy_astropy,norm,61
astropy_astropy,matmul,23
astropy_astropy,matmul,25
astropy_astropy,matmul,27
scipy_scipy,stacked_matmul,101
scipy_scipy,LbfgsInvHessProduct.__init__,134
scipy_scipy,_row_norms,551
scipy_scipy,TestUtilities.barycentric_transform,158
scipy_scipy,multinomial_gen.cov,981
sklearn_sklearn,_BinaryGaussianProcessClassifierLaplace.log_marginal_likelihood,107
sklearn_sklearn,_BinaryGaussianProcessClassifierLaplace.predict_proba,83
sklearn_sklearn,GaussianProcessRegressor.log_marginal_likelihood,139
sklearn_sklearn,GaussianProcessRegressor.log_marginal_likelihood,144
sklearn_sklearn,GaussianProcessRegressor.log_marginal_likelihood,146
sklearn_sklearn,GaussianProcessRegressor.predict,99
sklearn_sklearn,DotProduct.diag,736
sklearn_sklearn,row_norms,39
skimage_skimage,_norm_along_axis,17
mne_python,_lin_pot_coeff,68
mne_python,_lin_pot_coeff,69
mne_python,_lin_pot_coeff,70
mne_python,VectorSourceEstimate.normal,851
mne_python,_find_nearest_tri_pt,579
mne_python,_find_nearest_tri_pt,581
mne_python,_get_solids,684
mne_python,_get_solids,685
mne_python,_get_solids,686
mne_python,_get_tri_supp_geom,525
mne_python,_get_tri_supp_geom,526
mne_python,_get_tri_supp_geom,527
mne_python,_project_onto_surface,139
mne_python,_sph_to_cart_partials,326
mne_python,_do_interp_dots,42
mne_python,test_time_delaying_fast_calc,214
mne_python,_bem_specify_els,93
mne_python,_bem_inf_pots,127
mne_python,_comp_sums_meg,105
mne_python,_fast_sphere_dot_r0,122
mne_python,_fast_sphere_dot_r0,131
mne_python,_fast_sphere_dot_r0,132
mne_python,_fast_sphere_dot_r0,133
mne_python,_fast_sphere_dot_r0,134
mne_python,_fast_sphere_dot_r0,135
mne_python,_sss_basis_basic,556
mne_python,_sss_basis_basic,560
mne_python,_integrate_points,654
mne_python,plot_head_positions,57
