project, module, line
astropy_astropy,test_basic_nddata,16
astropy_astropy,wpwaCDM.de_density_scale,858
astropy_astropy,w0waCDM.de_density_scale,784
astropy_astropy,w0wzCDM.de_density_scale,902
astropy_astropy,FLRW.de_density_scale,344
astropy_astropy,Sersic1D.evaluate,225
astropy_astropy,MexicanHat1D.evaluate,586
astropy_astropy,MexicanHat2D.evaluate,605
astropy_astropy,Gaussian1D.fit_deriv,36
astropy_astropy,Gaussian2D.evaluate,105
astropy_astropy,Sersic2D.evaluate,705
astropy_astropy,Gaussian2D.fit_deriv,127
astropy_astropy,Gaussian1D.evaluate,31
astropy_astropy,ExponentialCutoffPowerLaw1D.evaluate,67
astropy_astropy,ExponentialCutoffPowerLaw1D.fit_deriv,74
astropy_astropy,module,9
astropy_astropy,module,9
astropy_astropy,test_fit_with_fixed_and_bound_constraints,286
astropy_astropy,TestNonLinearConstraints.func,81
astropy_astropy,TestNonLinearConstraints.compmodel,68
astropy_astropy,Test1DFittingWithOutlierRemoval.func,406
astropy_astropy,TestNonLinearFitters.func1,234
astropy_astropy,TestNonLinearFitters.func,205
astropy_astropy,TestJointFitter.model,145
astropy_astropy,Test2DFittingWithOutlierRemoval.Gaussian_2D,433
astropy_astropy,rayleightest,67
astropy_astropy,trig_sum,62
astropy_astropy,trig_sum,68
astropy_astropy,test_fitness_function_results,94
astropy_astropy,test_measures_fitness_heteroscedastic,37
astropy_astropy,test_measures_fitness_homoscedastic,28
astropy_astropy,test_equivalency_context,316
astropy_astropy,test_equivalency_context,318
astropy_astropy,TestInplaceUfuncs.test_one_argument_ufunc_inplace_2,475
astropy_astropy,TestInplaceUfuncs.test_one_argument_ufunc_inplace_2,477
astropy_astropy,InvertedLogStretch.__call__,164
scipy_scipy,_analytical_solution,80
scipy_scipy,exp_sol,37
scipy_scipy,exp_sol,37
scipy_scipy,exp_sol,37
scipy_scipy,CoupledDecay.verify,392
scipy_scipy,CoupledDecay.verify,393
scipy_scipy,CoupledDecay.verify,394
scipy_scipy,Rbf._h_gaussian,24
scipy_scipy,module,54
scipy_scipy,dft,235
scipy_scipy,_fractional_power_superdiag_entry,101
scipy_scipy,TestFractionalMatrixPower.test_random_matrices_and_powers,299
scipy_scipy,_exp_fjb,55
scipy_scipy,_exp_fcn,49
scipy_scipy,_exp_fjd,52
scipy_scipy,TestODR.explicit_fjb,35
scipy_scipy,TestODR.multi_fcn,68
scipy_scipy,TestODR.explicit_fjd,30
scipy_scipy,TestODR.explicit_fcn,26
scipy_scipy,Metropolis.accept_reject,183
scipy_scipy,ExponentialFittingProblem.fun,116
scipy_scipy,ExponentialFittingProblem.jac,121
scipy_scipy,ExponentialFittingProblem.__init__,109
scipy_scipy,TestLineSearch._scalar_func_2,50
scipy_scipy,TestLineSearch._scalar_func_2,51
scipy_scipy,TestCurveFit.f11,306
scipy_scipy,TestCurveFit.func111,394
scipy_scipy,TestCurveFit.f_double_gauss,235
scipy_scipy,TestCurveFit.f_double_gauss,235
scipy_scipy,TestCurveFit.jacp,390
scipy_scipy,TestCurveFit.jac11,397
scipy_scipy,TestCurveFit.func11,364
scipy_scipy,TestCurveFit.jac,335
scipy_scipy,TestCurveFit.f1,295
scipy_scipy,TestFixedPoint.test_lambertw,476
scipy_scipy,TestFixedPoint.test_lambertw,477
scipy_scipy,TestCurveFit.jac1,367
scipy_scipy,TestLeastSq.func,177
scipy_scipy,TestCurveFit.f1111,332
scipy_scipy,TestCurveFit.funcp,386
scipy_scipy,F6,54
scipy_scipy,F4_powell,42
scipy_scipy,F4_powell,42
scipy_scipy,logit,14
scipy_scipy,CheckOptimize.grad,52
scipy_scipy,CheckOptimize.grad,53
scipy_scipy,CheckOptimize.func,44
scipy_scipy,TestBrute.f3,736
scipy_scipy,der_logit,17
scipy_scipy,der_logit,17
scipy_scipy,CheckOptimize.hess,58
scipy_scipy,CheckOptimize.hess,59
scipy_scipy,TestBrute.f2,731
scipy_scipy,TestApproxDerivativesDense.jac_parametrized,113
scipy_scipy,TestApproxDerivativesDense.jac_parametrized,113
scipy_scipy,TestApproxDerivativesDense.fun_scalar_vector,89
scipy_scipy,TestApproxDerivativesDense.fun_parametrized,110
scipy_scipy,TestApproxDerivativesDense.fun_parametrized,110
scipy_scipy,TestApproxDerivativesDense.wrong_dimensions_fun,98
scipy_scipy,TestApproxDerivativesDense.jac_scalar_vector,92
scipy_scipy,buttap,951
scipy_scipy,group_delay,129
scipy_scipy,minimum_phase,218
scipy_scipy,minimum_phase,240
scipy_scipy,_dhtm,196
scipy_scipy,firwin2,118
scipy_scipy,ricker,131
scipy_scipy,chebwin,225
scipy_scipy,exponential,265
scipy_scipy,general_gaussian,201
scipy_scipy,gaussian,192
scipy_scipy,Test_dfreqresp.test_auto,347
scipy_scipy,Test_bode.test_auto,397
scipy_scipy,TestGroupDelay.test_singular,1436
scipy_scipy,TestGroupDelay.test_singular,1437
scipy_scipy,TestGroupDelay.test_singular,1438
scipy_scipy,TestGroupDelay.test_singular,1439
scipy_scipy,TestCplxPair.test_output_order,31
scipy_scipy,TestZpk2Sos.test_basic,245
scipy_scipy,TestZpk2Sos.test_basic,247
scipy_scipy,TestZpk2Sos.test_basic,252
scipy_scipy,TestFirwin.check_response,37
scipy_scipy,Test_lsim2.test_05,330
scipy_scipy,Test_lsim2.test_05,331
scipy_scipy,Test_lsim2.test_05,332
scipy_scipy,_TestStepFuncs.test_01,409
scipy_scipy,Test_lsim2.test_06,340
scipy_scipy,_TestImpulseFuncs.test_03,364
scipy_scipy,TestLsim.test_jordan_block,260
scipy_scipy,_TestStepFuncs.test_06,443
scipy_scipy,Test_lsim2.test_01,294
scipy_scipy,_TestImpulseFuncs.test_02,358
scipy_scipy,_TestStepFuncs.test_04,431
scipy_scipy,_TestStepFuncs.test_02,419
scipy_scipy,Test_lsim2.test_04,318
scipy_scipy,_TestImpulseFuncs.test_01,348
scipy_scipy,_gen_gaussians,14
scipy_scipy,TestDecimate._test_phaseshift,1238
scipy_scipy,TestDecimate._test_phaseshift,1242
scipy_scipy,TestCSpline1DEval.test_complex,465
scipy_scipy,TestSTFT.test_roundtrip_padded_FFT,1002
scipy_scipy,_eq_10_42,396
scipy_scipy,_expm,334
scipy_scipy,_fragment_2_1,403
scipy_scipy,_fragment_2_1,409
scipy_scipy,_expm_multiply_interval_core_1,258
scipy_scipy,_expm_multiply_simple_core,79
scipy_scipy,_expm_multiply_interval_core_2,291
scipy_scipy,TestExpmActionSimple.test_complex,117
scipy_scipy,TestExpmActionSimple.test_complex,117
scipy_scipy,TestExpmActionInterval.test_sparse_expm_multiply_interval_dtypes,173
scipy_scipy,TestExpmActionInterval.test_sparse_expm_multiply_interval_dtypes,177
scipy_scipy,TestExpmActionInterval.test_sparse_expm_multiply_interval_dtypes,181
scipy_scipy,TestExpM.test_burkardt_1,141
scipy_scipy,TestExpM.test_burkardt_1,142
scipy_scipy,TestExpM.test_burkardt_4,167
scipy_scipy,TestExpM.test_burkardt_7,185
scipy_scipy,TestExpM.test_burkardt_8,193
scipy_scipy,TestExpM.test_burkardt_8,194
scipy_scipy,TestExpM.test_burkardt_6,178
scipy_scipy,TestExpM.test_burkardt_3,155
scipy_scipy,TestExpM.test_burkardt_3,156
scipy_scipy,count_neighbors_consistency.test_multiple_radius,571
scipy_scipy,logsumexp,22
scipy_scipy,logsumexp,24
scipy_scipy,TestCephes.test_pdtrc,676
scipy_scipy,TestLegendreFunctions.test_clpmn_close_to_real_3,2202
scipy_scipy,TestLegendreFunctions.test_clpmn_close_to_real_3,2202
scipy_scipy,TestErf.test_dawsn_consistent,1286
scipy_scipy,TestCephes.test_pdtr,670
scipy_scipy,TestErf.test_erfcx_consistent,1280
scipy_scipy,f,15
scipy_scipy,test_logsumexp_b,36
scipy_scipy,test_logsumexp_b,48
scipy_scipy,test_logsumexp_b,49
scipy_scipy,test_logsumexp_b,50
scipy_scipy,test_logsumexp,9
scipy_scipy,test_logsumexp,22
scipy_scipy,test_logsumexp,23
scipy_scipy,test_logsumexp,24
scipy_scipy,test_spence_circle,297
scipy_scipy,TestSystematic.test_lanczos_sum_expg_scaled,890
scipy_scipy,test_expi_complex,24
scipy_scipy,test_loggamma_taylor,201
scipy_scipy,test_loggamma_taylor_transition,188
scipy_scipy,hermite_recursion,363
scipy_scipy,Y11,19
scipy_scipy,Yn11,13
scipy_scipy,ks_twosamp,496
scipy_scipy,ks_twosamp,499
scipy_scipy,gmean,72
scipy_scipy,von_mises_cdf_normalapprox,22
scipy_scipy,lomax_gen._sf,2166
scipy_scipy,gilbrat_gen._ppf,1757
scipy_scipy,genextreme_gen._logpdf,987
scipy_scipy,gompertz_gen._entropy,1231
scipy_scipy,fatiguelife_gen._pdf,720
scipy_scipy,beta_gen._pdf,212
scipy_scipy,hypsecant_gen._cdf,1374
scipy_scipy,kappa4_gen.f311,1882
scipy_scipy,invgamma_gen._pdf,1408
scipy_scipy,logistic_gen._pdf,1629
scipy_scipy,gumbel_l_gen._pdf,1263
scipy_scipy,ncf_gen._pdf_skip,1989
scipy_scipy,invweibull_gen._cdf,1474
scipy_scipy,gengamma_gen._pdf,1153
scipy_scipy,kappa4_gen._cdf,1863
scipy_scipy,exponweib_gen._pdf,668
scipy_scipy,kappa4_gen._pdf,1840
scipy_scipy,lognorm_gen._ppf,1720
scipy_scipy,foldnorm_gen._stats,812
scipy_scipy,invgauss_gen._pdf,1447
scipy_scipy,f_gen._pdf,765
scipy_scipy,halfnorm_gen._pdf,1349
scipy_scipy,genpareto_gen._pdf,922
scipy_scipy,invweibull_gen._pdf,1469
scipy_scipy,halflogistic_gen._pdf,1316
scipy_scipy,dweibull_gen._pdf,570
scipy_scipy,halflogistic_gen._logpdf,1319
scipy_scipy,powerlognorm_gen._ppf,2285
scipy_scipy,loggamma_gen._cdf,1663
scipy_scipy,gumbel_r_gen._logpdf,1241
scipy_scipy,exponnorm_gen._cdf,649
scipy_scipy,genextreme_gen._logcdf,994
scipy_scipy,lognorm_gen._rvs,1705
scipy_scipy,laplace_gen._pdf,1529
scipy_scipy,exponnorm_gen._sf,654
scipy_scipy,gilbrat_gen._rvs,1745
scipy_scipy,chi2_gen._pdf,484
scipy_scipy,levy_l_gen._pdf,1568
scipy_scipy,gumbel_l_gen._logsf,1275
scipy_scipy,kappa4_gen.f2,1855
scipy_scipy,argus_gen._pdf,2789
scipy_scipy,frechet_r_gen._pdf,827
scipy_scipy,genlogistic_gen._logpdf,893
scipy_scipy,halfgennorm_gen._pdf,2758
scipy_scipy,laplace_gen._cdf,1532
scipy_scipy,laplace_gen._cdf,1532
scipy_scipy,kappa4_gen.f21,1878
scipy_scipy,burr12_gen._pdf,375
scipy_scipy,gennorm_gen._pdf,2727
scipy_scipy,exponpow_gen._logpdf,692
scipy_scipy,maxwell_gen._pdf,1778
scipy_scipy,nakagami_gen._pdf,1939
scipy_scipy,lognorm_gen._stats,1729
scipy_scipy,ncf_gen._munp,2004
scipy_scipy,genexpon_gen._pdf,960
scipy_scipy,gumbel_r_gen._logcdf,1247
scipy_scipy,_norm_pdf,41
scipy_scipy,chi_gen._pdf,456
scipy_scipy,nct_gen._pdf,2071
scipy_scipy,levy_gen._pdf,1549
scipy_scipy,frechet_l_gen._cdf,862
scipy_scipy,gennorm_gen._stats,2748
scipy_scipy,gennorm_gen._stats,2748
scipy_scipy,gumbel_r_gen._pdf,1238
scipy_scipy,gumbel_l_gen._sf,1278
scipy_scipy,gumbel_l_gen._sf,1278
scipy_scipy,expon_gen._pdf,600
scipy_scipy,gumbel_l_gen._logpdf,1266
scipy_scipy,genlogistic_gen._pdf,890
scipy_scipy,genextreme_gen._pdf,981
scipy_scipy,genlogistic_gen._cdf,896
scipy_scipy,rice_gen._munp,2409
scipy_scipy,lognorm_gen._pdf,1708
scipy_scipy,rayleigh_gen._sf,2342
scipy_scipy,gilbrat_gen._pdf,1748
scipy_scipy,gompertz_gen._pdf,1219
scipy_scipy,burr12_gen._sf,387
scipy_scipy,exponpow_gen._sf,699
scipy_scipy,dweibull_gen._cdf,578
scipy_scipy,genextreme_gen._cdf,997
scipy_scipy,logistic_gen._logpdf,1632
scipy_scipy,loggamma_gen._pdf,1660
scipy_scipy,loggamma_gen._pdf,1660
scipy_scipy,kappa4_gen.f31,1859
scipy_scipy,rice_gen._pdf,2403
scipy_scipy,gumbel_r_gen._cdf,1244
scipy_scipy,gumbel_r_gen._cdf,1244
scipy_scipy,recipinvgauss_gen._cdf,2425
scipy_scipy,_digammainv,1049
scipy_scipy,_digammainv,1054
scipy_scipy,pearson3_gen._pdf,2211
scipy_scipy,truncexpon_gen._munp,2547
scipy_scipy,truncexpon_gen._munp,2549
scipy_scipy,frechet_l_gen._pdf,856
scipy_scipy,truncexpon_gen._entropy,2554
scipy_scipy,gamma_gen._pdf,1069
scipy_scipy,vonmises_gen._pdf,2651
scipy_scipy,exponpow_gen._pdf,688
scipy_scipy,johnsonsb_gen._ppf,1501
scipy_scipy,dgamma_gen._pdf,536
scipy_scipy,rayleigh_gen._pdf,2330
scipy_scipy,recipinvgauss_gen._pdf,2416
scipy_scipy,t_gen._pdf,2022
scipy_scipy,invgauss_gen._cdf,1455
scipy_scipy,invgauss_gen._cdf,1455
scipy_scipy,frechet_r_gen._sf,836
scipy_scipy,betaprime_gen._pdf,300
scipy_scipy,truncexpon_gen._pdf,2534
scipy_scipy,expon_gen._sf,612
scipy_scipy,gumbel_l_gen._cdf,1269
scipy_scipy,geom_gen._sf,151
scipy_scipy,_ncx2_pdf,246
scipy_scipy,multinomial_gen.pmf,969
scipy_scipy,multivariate_normal_gen.pdf,188
scipy_scipy,multivariate_normal_frozen.pdf,219
scipy_scipy,dirichlet_gen.pdf,436
scipy_scipy,wishart_gen.pdf,590
scipy_scipy,matrix_normal_gen.pdf,331
scipy_scipy,invwishart_frozen.pdf,878
scipy_scipy,invwishart_gen.pdf,783
scipy_scipy,matrix_normal_frozen.pdf,363
scipy_scipy,wishart_frozen.pdf,691
scipy_scipy,TestBeta.test_logpdf_ticket_1866,967
scipy_scipy,TestGumbelL.test_logcdf_logsf,1019
scipy_scipy,TestBetaPrime.test_logpdf,976
scipy_scipy,TestNBinom.test_pmf,214
scipy_scipy,test_norm_logcdf,1843
scipy_scipy,TestWeibull.test_with_maxima_distrib,1604
scipy_scipy,TestWeibull.test_with_maxima_distrib,1612
scipy_scipy,TestWeibull.test_with_maxima_distrib,1616
scipy_scipy,TestWeibull.test_with_maxima_distrib,1621
scipy_scipy,TestWeibull.test_with_maxima_distrib,1625
scipy_scipy,TestMultivariateNormal.test_large_pseudo_determinant,108
scipy_scipy,TestMultivariateNormal.test_lnB,262
scipy_scipy,CoupledDecay.verify,392
scipy_scipy,CoupledDecay.verify,393
scipy_scipy,CoupledDecay.verify,394
scipy_scipy,Test_lsim2.test_05,330
scipy_scipy,Test_lsim2.test_05,331
scipy_scipy,Test_lsim2.test_05,332
scipy_scipy,_TestStepFuncs.test_01,409
scipy_scipy,Test_lsim2.test_06,340
scipy_scipy,_TestImpulseFuncs.test_03,364
scipy_scipy,TestLsim.test_jordan_block,260
scipy_scipy,_TestStepFuncs.test_06,443
scipy_scipy,Test_lsim2.test_01,294
scipy_scipy,_TestImpulseFuncs.test_02,358
scipy_scipy,_TestStepFuncs.test_04,431
scipy_scipy,_TestStepFuncs.test_02,419
scipy_scipy,Test_lsim2.test_04,318
scipy_scipy,_TestImpulseFuncs.test_01,348
scipy_scipy,hermite_recursion,363
scipy_scipy,CoupledDecay.verify,392
scipy_scipy,CoupledDecay.verify,393
scipy_scipy,CoupledDecay.verify,394
scipy_scipy,test_roots_genlaguerre,564
scipy_scipy,CoupledDecay.verify,392
scipy_scipy,CoupledDecay.verify,393
scipy_scipy,CoupledDecay.verify,394
scipy_scipy,test_roots_genlaguerre,564
sklearn_sklearn,objective,157
sklearn_sklearn,_SigmoidCalibration.predict,192
sklearn_sklearn,grad,166
sklearn_sklearn,LinearDiscriminantAnalysis.predict_proba,176
sklearn_sklearn,QuadraticDiscriminantAnalysis.predict_proba,277
sklearn_sklearn,BernoulliNB._joint_log_likelihood,273
sklearn_sklearn,BaseNB.predict_proba,38
sklearn_sklearn,make_low_rank_matrix,276
sklearn_sklearn,make_low_rank_matrix,277
sklearn_sklearn,_exp,73
sklearn_sklearn,LatentDirichletAllocation.perplexity,268
sklearn_sklearn,_update_doc_distribution,26
sklearn_sklearn,LatentDirichletAllocation._init_latent_vars,103
sklearn_sklearn,LatentDirichletAllocation._em_step,133
sklearn_sklearn,test_lda_score_perplexity,211
sklearn_sklearn,test_dirichlet_expectation,226
sklearn_sklearn,test_pca_score,275
sklearn_sklearn,MultinomialDeviance._score_to_proba,405
sklearn_sklearn,ExponentialLoss.__call__,425
sklearn_sklearn,ExponentialLoss.__call__,427
sklearn_sklearn,ExponentialLoss._update_terminal_region,439
sklearn_sklearn,ExponentialLoss._update_terminal_region,440
sklearn_sklearn,ExponentialLoss.negative_gradient,431
sklearn_sklearn,MultinomialDeviance.negative_gradient,388
sklearn_sklearn,AdaBoostClassifier._boost_real,156
sklearn_sklearn,AdaBoostClassifier._boost_discrete,179
sklearn_sklearn,AdaBoostRegressor._boost,320
sklearn_sklearn,AdaBoostClassifier.predict_proba,253
sklearn_sklearn,AdaBoostClassifier.staged_predict_proba,275
sklearn_sklearn,test_probability,130
