project, module, line
astropy_astropy,binned_binom_proportion,69
astropy_astropy,binned_binom_proportion,70
astropy_astropy,_KnuthF.eval,101
astropy_astropy,histogram,27
scipy_scipy,_hist,343
scipy_scipy,_histogram,502
scipy_scipy,TestBinnedStatistic.test_1d_count,24
scipy_scipy,TestBinnedStatistic.test_1d_sum,46
scipy_scipy,module,16
scipy_scipy,check_discrete_chisquare,147
scipy_scipy,TestHistogram.setUp,2198
scipy_scipy,TestHistogram.setUp,2201
matplotlib_matplotlib,module,10
matplotlib_matplotlib,animate,37
matplotlib_matplotlib,module,9
matplotlib_matplotlib,module,10
matplotlib_matplotlib,module,11
matplotlib_matplotlib,entropy,423
matplotlib_matplotlib,Axes.hist,2234
matplotlib_matplotlib,calculate_rms,173
pandas_pandas,HistPlot._args_adjust,1381
dask_dask,block_hist,1083
nengo_nengo,test_uniform,36
nengo_nengo,test_pdf,17
nengo_nengo,test_choice,85
nengo_nengo,test_noise,102
skimage_skimage,histogram,32
skimage_skimage,test_grey,17
skimage_skimage,test_grey,19
librosa_librosa,pitch_tuning,31
