project, module, line
scipy_scipy,_onenormest_core,216
scipy_scipy,_onenormest_core,218
scipy_scipy,_onenormest_core,222
sklearn_sklearn,LabelShuffleSplit._iter_indices,416
sklearn_sklearn,LabelShuffleSplit._iter_indices,417
sklearn_sklearn,fetch_20newsgroups,128
sklearn_sklearn,_mask_edges_weights,31
sklearn_sklearn,_mask_edges_weights,31
sklearn_sklearn,GroupShuffleSplit._iter_indices,312
sklearn_sklearn,GroupShuffleSplit._iter_indices,313
sklearn_sklearn,test_group_shuffle_split,446
sklearn_sklearn,test_group_shuffle_split,447
sklearn_sklearn,test_label_shuffle_split,386
sklearn_sklearn,test_label_shuffle_split,387
sklearn_sklearn,compute_class_weight,18
matplotlib_matplotlib,test_trirefine,588
pandas_pandas,isin,58
pandas_pandas,GroupBy.nth,674
pandas_pandas,GroupBy.nth,674
pandas_pandas,MultiIndex.convert_indexer,1038
pandas_pandas,Holiday.dates,124
nilearn_nilearn,fetch_cobre,431
nilearn_nilearn,_remove_small_regions,42
skimage_skimage,skeletonize,15
skimage_skimage,clear_border,25
librosa_librosa,match_events,179
mne_python,compute_raw_covariance,171
mne_python,EpochsArray.__init__,884
mne_python,BaseEpochs.__init__,125
mne_python,_read_evoked,367
mne_python,_read_evoked,367
mne_python,_filt_check_picks,855
mne_python,Label.fill,223
mne_python,Label.fill,231
mne_python,_split_label_contig,489
mne_python,Label.get_vertices_used,292
mne_python,Label.__sub__,201
mne_python,Label.get_tris,298
mne_python,_spatio_temporal_src_connectivity_ico,1130
mne_python,_BaseSurfaceSourceEstimate._hemilabel_stc,632
mne_python,_make_volume_source_space,1043
mne_python,_get_morph_src_reordering,1463
mne_python,_get_morph_src_reordering,1466
mne_python,make_forward_dipole,339
mne_python,ToDataFrameMixin._get_check_picks,33
mne_python,_conv_comp,217
mne_python,_get_clusters_st_multistep,95
mne_python,_get_clusters_spatial,22
mne_python,_prepare_rerp_preds,152
mne_python,test_label_in_src,178
mne_python,test_label_in_src,182
mne_python,test_label_in_src,186
mne_python,test_morph,462
mne_python,test_write_labels_to_annot,374
mne_python,test_grow_labels,489
mne_python,test_spatial_inter_hemi_connectivity,57
mne_python,test_other_volume_source_spaces,194
mne_python,_prepare_mne_browse_epochs,460
mne_python,_prepare_mne_browse_epochs,467
mne_python,_prepare_mne_browse_epochs,478
mne_python,_set_custom_selection,642
