project, module, line
astropy_astropy,test_flat_open_closed_icosmo,529
astropy_astropy,test_flat_open_closed_icosmo,537
astropy_astropy,test_flat_open_closed_icosmo,545
scipy_scipy,TestPCHIP.test_nag,327
scipy_scipy,TestPCHIP.test_nag,330
scipy_scipy,test_label_structuring_elements,214
scipy_scipy,test_label_structuring_elements,215
scipy_scipy,test_label_structuring_elements,216
scipy_scipy,load_testing_files,21
scipy_scipy,main,24
scipy_scipy,TestFOneWay.test_nist,2703
sklearn_sklearn,load_linnerud,157
sklearn_sklearn,load_linnerud,158
sklearn_sklearn,load_diabetes,148
sklearn_sklearn,load_diabetes,149
sklearn_sklearn,load_digits,130
sklearn_sklearn,fetch_california_housing,29
sklearn_sklearn,_load_coverage,26
sklearn_sklearn,_load_csv,38
matplotlib_matplotlib,module,123
matplotlib_matplotlib,module,10
pandas_pandas,TestSeriesToCSV.test_to_csv,52
pandas_pandas,TestCut.test_qcut_binning_issues,177
daducci_amico,Scheme.__init__,19
markovmodel_msmtools,TestPCCA.test_pcca_large,63
markovmodel_msmtools,TestReadDiscreteTrajectory.test_read_discrete_trajectory,21
markovmodel_msmtools,TestWriteDiscreteTrajectory.test_write_discrete_trajectory,36
markovmodel_msmtools,TestCountMatrixtMult.setUp,92
markovmodel_msmtools,TestCountMatrixtMult.setUp,94
markovmodel_msmtools,TestCountMatrixtMult.setUp,95
markovmodel_msmtools,TestCountMatrixtMult.setUp,96
markovmodel_msmtools,TestCountMatrixtMult.setUp,97
markovmodel_msmtools,TestCountMatrixtMult.setUp,98
markovmodel_msmtools,TestCountMatrixtMult.setUp,99
markovmodel_msmtools,TestCountMatrix.setUp,29
markovmodel_msmtools,TestCountMatrix.setUp,30
markovmodel_msmtools,TestCountMatrix.setUp,31
markovmodel_msmtools,TestCountMatrix.setUp,32
markovmodel_msmtools,TestCountMatrix.setUp,33
markovmodel_msmtools,TestCountMatrix.setUp,34
markovmodel_msmtools,TestCountMatrix.setUp,35
markovmodel_msmtools,TestCountMatrixBincountMult.setUp,331
markovmodel_msmtools,TestCountMatrixBincountMult.setUp,333
markovmodel_msmtools,TestCountMatrixBincountMult.setUp,334
markovmodel_msmtools,TestCountMatrixBincountMult.setUp,335
markovmodel_msmtools,TestCountMatrixBincountMult.setUp,336
markovmodel_msmtools,TestCountMatrixBincountMult.setUp,337
markovmodel_msmtools,TestCountMatrixBincountMult.setUp,338
markovmodel_msmtools,TestCountMatrixCoo.setUp,176
markovmodel_msmtools,TestCountMatrixCoo.setUp,177
markovmodel_msmtools,TestCountMatrixCoo.setUp,178
markovmodel_msmtools,TestCountMatrixCoo.setUp,179
markovmodel_msmtools,TestCountMatrixCoo.setUp,180
markovmodel_msmtools,TestCountMatrixCoo.setUp,181
markovmodel_msmtools,TestCountMatrixCoo.setUp,182
markovmodel_msmtools,TestCountMatrixBincount.setUp,270
markovmodel_msmtools,TestCountMatrixBincount.setUp,271
markovmodel_msmtools,TestCountMatrixBincount.setUp,272
markovmodel_msmtools,TestCountMatrixBincount.setUp,273
