project, module, line
astropy_astropy,Voigt1D,320
astropy_astropy,Moffat1D.fit_deriv,651
astropy_astropy,Voigt1D.fit_deriv,337
astropy_astropy,Moffat2D.fit_deriv,675
astropy_astropy,Voigt1D.evaluate,326
astropy_astropy,LogParabola1D.fit_deriv,98
astropy_astropy,LogParabola1D.evaluate,91
astropy_astropy,ExponentialCutoffPowerLaw1D.fit_deriv,76
astropy_astropy,PowerLaw1D.fit_deriv,27
astropy_astropy,BrokenPowerLaw1D.fit_deriv,51
astropy_astropy,FitnessFunc.p0_prior,74
astropy_astropy,RegularEvents.fitness,174
astropy_astropy,RegularEvents.fitness,174
astropy_astropy,Events.fitness,144
astropy_astropy,Events.fitness,144
astropy_astropy,FitnessFunc.compute_ncp_prior,85
astropy_astropy,module,10
astropy_astropy,_KnuthF.eval,102
astropy_astropy,akaike_info_criterion_lsq,26
astropy_astropy,bayesian_info_criterion_lsq,14
astropy_astropy,bayesian_info_criterion,10
astropy_astropy,lombscargle_chi2,35
astropy_astropy,lombscargle_fastchi2,51
astropy_astropy,lombscargle_fast,50
astropy_astropy,lombscargle_scipy,27
astropy_astropy,lombscargle_slow,55
astropy_astropy,test_gaussian_sigma_to_fwhm,296
astropy_astropy,test_gaussian_fwhm_to_sigma,292
astropy_astropy,_logn,13
astropy_astropy,_logn,13
astropy_astropy,_logn,15
astropy_astropy,_logn,16
astropy_astropy,LogStretch.__call__,145
astropy_astropy,LogStretch.__call__,146
astropy_astropy,InvertedLogStretch.__call__,163
scipy_scipy,_fractional_power_superdiag_entry,98
scipy_scipy,_fractional_power_superdiag_entry,99
scipy_scipy,_logm_superdiag_entry,116
scipy_scipy,_logm_superdiag_entry,116
scipy_scipy,_logm_superdiag_entry,119
scipy_scipy,_logm_superdiag_entry,119
scipy_scipy,_logm_triu,350
scipy_scipy,TestFixedPoint.func111111,488
scipy_scipy,TestFixedPoint.func111111,488
scipy_scipy,CheckOptimize.grad,52
scipy_scipy,CheckOptimize.func,44
scipy_scipy,CheckOptimize.hess,58
scipy_scipy,TestApproxDerivativesDense.fun_vector_scalar,95
scipy_scipy,TestApproxDerivativesDense.jac_vector_scalar,101
scipy_scipy,TestApproxDerivativesDense.jac_vector_scalar,101
scipy_scipy,F_10,148
scipy_scipy,minimum_phase,230
scipy_scipy,_dhtm,196
scipy_scipy,test_filtfilt_gust,1183
scipy_scipy,test_filtfilt_gust,1183
scipy_scipy,TestFiltFilt.test_sine,1045
scipy_scipy,TestFiltFilt.test_sine,1045
scipy_scipy,count_neighbors_consistency.test_multiple_radius,571
scipy_scipy,count_neighbors_consistency.test_multiple_radius,571
scipy_scipy,multigammaln,15
scipy_scipy,logsumexp,30
scipy_scipy,xfunc,2577
scipy_scipy,TestCephes.test_expm1_complex_hard,264
scipy_scipy,test_boxcox_underflow,23
scipy_scipy,test_boxcox_basic,10
scipy_scipy,test_identities2,23
scipy_scipy,test_logsumexp_b,36
scipy_scipy,test_logsumexp_b,40
scipy_scipy,test_logsumexp_b,44
scipy_scipy,test_logsumexp,9
scipy_scipy,test_logsumexp,12
scipy_scipy,test_logsumexp,16
scipy_scipy,test_logsumexp,19
scipy_scipy,TestSystematic.test_exprel,612
scipy_scipy,TestSystematic.test_exprel,612
scipy_scipy,TestMultiGammaLn.test2,17
scipy_scipy,boxcox_llf,200
scipy_scipy,boxcox_llf,201
scipy_scipy,combine_pvalues,1344
scipy_scipy,skewtest,343
scipy_scipy,gmean,64
scipy_scipy,gmean,67
scipy_scipy,gmean,69
scipy_scipy,gmean,71
scipy_scipy,module,7
scipy_scipy,module,38
scipy_scipy,gennorm_gen._logpdf,2730
scipy_scipy,frechet_r_gen._logpdf,830
scipy_scipy,norm_gen._entropy,98
scipy_scipy,loggamma_gen._rvs,1657
scipy_scipy,exponnorm_gen._logpdf,644
scipy_scipy,halfnorm_gen._entropy,1364
scipy_scipy,lognorm_gen._logcdf,1717
scipy_scipy,johnsonsb_gen._cdf,1498
scipy_scipy,gompertz_gen._entropy,1231
scipy_scipy,gumbel_l_gen._ppf,1272
scipy_scipy,_lognorm_logpdf,1698
scipy_scipy,_lognorm_logpdf,1698
scipy_scipy,lognorm_gen._sf,1723
scipy_scipy,laplace_gen._entropy,1541
scipy_scipy,rayleigh_gen._isf,2348
scipy_scipy,powerlognorm_gen._cdf,2282
scipy_scipy,halfcauchy_gen._entropy,1309
scipy_scipy,vonmises_gen._entropy,2660
scipy_scipy,frechet_r_gen._entropy,848
scipy_scipy,gennorm_gen._entropy,2751
scipy_scipy,johnsonsb_gen._pdf,1494
scipy_scipy,fisk_gen._entropy,416
scipy_scipy,maxwell_gen._entropy,1791
scipy_scipy,hypsecant_gen._entropy,1383
scipy_scipy,wrapcauchy_gen._entropy,2720
scipy_scipy,invweibull_gen._ppf,1477
scipy_scipy,lomax_gen._entropy,2179
scipy_scipy,genextreme_gen._isf,1007
scipy_scipy,gengamma_gen._logpdf,1156
scipy_scipy,exponpow_gen._isf,702
scipy_scipy,halflogistic_gen._logpdf,1319
scipy_scipy,reciprocal_gen._cdf,2374
scipy_scipy,reciprocal_gen._cdf,2374
scipy_scipy,invweibull_gen._entropy,1483
scipy_scipy,gilbrat_gen._entropy,1768
scipy_scipy,bradford_gen._entropy,348
scipy_scipy,bradford_gen._entropy,349
scipy_scipy,dgamma_gen._logpdf,540
scipy_scipy,chi2_gen._logpdf,487
scipy_scipy,triang_gen._entropy,2523
scipy_scipy,halflogistic_gen._munp,1329
scipy_scipy,gilbrat_gen._cdf,1754
scipy_scipy,lognorm_gen._logsf,1726
scipy_scipy,gengamma_gen._entropy,1185
scipy_scipy,reciprocal_gen._entropy,2383
scipy_scipy,reciprocal_gen._entropy,2383
scipy_scipy,reciprocal_gen._entropy,2383
scipy_scipy,genlogistic_gen._logpdf,893
scipy_scipy,powerlaw_gen._logpdf,2256
scipy_scipy,frechet_l_gen._ppf,871
scipy_scipy,tukeylambda_gen.integ,2618
scipy_scipy,genextreme_gen._ppf,1003
scipy_scipy,genextreme_gen._ppf,1003
scipy_scipy,halfnorm_gen._logpdf,1352
scipy_scipy,cauchy_gen._entropy,441
scipy_scipy,powerlaw_gen._logcdf,2262
scipy_scipy,rayleigh_gen._entropy,2355
scipy_scipy,lognorm_gen._entropy,1737
scipy_scipy,lognorm_gen._entropy,1737
scipy_scipy,dweibull_gen._ppf,583
scipy_scipy,exponpow_gen._logpdf,692
scipy_scipy,dweibull_gen._logpdf,575
scipy_scipy,dweibull_gen._logpdf,575
scipy_scipy,exponweib_gen._logpdf,673
scipy_scipy,exponweib_gen._logpdf,673
scipy_scipy,powerlaw_gen._entropy,2271
scipy_scipy,fatiguelife_gen._logpdf,723
scipy_scipy,fatiguelife_gen._logpdf,723
scipy_scipy,fatiguelife_gen._logpdf,723
scipy_scipy,fatiguelife_gen._logpdf,723
scipy_scipy,hypsecant_gen._ppf,1377
scipy_scipy,halfgennorm_gen._entropy,2776
scipy_scipy,rayleigh_gen._logpdf,2333
scipy_scipy,nct_gen._pdf,2069
scipy_scipy,nct_gen._pdf,2070
scipy_scipy,nct_gen._pdf,2070
scipy_scipy,lognorm_gen._cdf,1714
scipy_scipy,invgamma_gen._logpdf,1411
scipy_scipy,powernorm_gen._logpdf,2295
scipy_scipy,levy_stable_gen.alpha1func,1588
scipy_scipy,halflogistic_gen._entropy,1339
scipy_scipy,gumbel_r_gen._ppf,1250
scipy_scipy,gumbel_r_gen._ppf,1250
scipy_scipy,halfgennorm_gen._logpdf,2761
scipy_scipy,burr12_gen._logpdf,378
scipy_scipy,burr12_gen._logpdf,378
scipy_scipy,gamma_gen.fit,1112
scipy_scipy,gamma_gen.fit,1112
scipy_scipy,gamma_gen.fit,1113
scipy_scipy,gamma_gen.fit,1120
scipy_scipy,gamma_gen.fit,1120
scipy_scipy,gompertz_gen._logpdf,1222
scipy_scipy,genhalflogistic_gen._entropy,1212
scipy_scipy,kappa4_gen.f3111,1899
scipy_scipy,kappa4_gen.f3111,1899
scipy_scipy,recipinvgauss_gen._logpdf,2419
scipy_scipy,alpha_gen._logpdf,127
scipy_scipy,alpha_gen._logpdf,127
scipy_scipy,genexpon_gen._logpdf,966
scipy_scipy,kappa4_gen.f1,1818
scipy_scipy,johnsonsu_gen._cdf,1516
scipy_scipy,t_gen._logpdf,2029
scipy_scipy,t_gen._logpdf,2029
scipy_scipy,johnsonsu_gen._pdf,1512
scipy_scipy,lomax_gen._logpdf,2160
scipy_scipy,pearson3_gen._logpdf,2221
scipy_scipy,pearson3_gen._logpdf,2222
scipy_scipy,kappa4_gen.f11111,1892
scipy_scipy,gumbel_l_gen._isf,1281
scipy_scipy,gumbel_l_gen._isf,1281
scipy_scipy,beta_gen.fit,270
scipy_scipy,beta_gen.fit,277
scipy_scipy,chi_gen._logpdf,459
scipy_scipy,chi_gen._logpdf,459
scipy_scipy,powerlognorm_gen._pdf,2279
scipy_scipy,powerlognorm_gen._pdf,2279
scipy_scipy,truncnorm_gen._argcheck,2569
scipy_scipy,truncexpon_gen._logpdf,2537
scipy_scipy,bradford_gen._stats,334
scipy_scipy,pareto_gen._entropy,2150
scipy_scipy,expon_gen._isf,618
scipy_scipy,truncexpon_gen._entropy,2555
scipy_scipy,halfcauchy_gen._logpdf,1297
scipy_scipy,reciprocal_gen._argcheck,2364
scipy_scipy,frechet_l_gen._entropy,882
scipy_scipy,anglit_gen._entropy,155
scipy_scipy,laplace_gen._ppf,1535
scipy_scipy,laplace_gen._ppf,1535
