project, module, line
astropy_astropy,find_coordinate_range,43
astropy_astropy,find_coordinate_range,48
astropy_astropy,find_coordinate_range,56
scipy_scipy,basic_stats,317
matplotlib_matplotlib,ExtremeFinderCycle.__call__,254
matplotlib_matplotlib,ExtremeFinderCycle.__call__,257
matplotlib_matplotlib,ExtremeFinderCycle.__call__,259
matplotlib_matplotlib,ExtremeFinderCycle.__call__,260
pandas_pandas,KdePlot._get_ind,1444
pandas_pandas,KdePlot._get_ind,1445
dask_dask,test_nan,190
nilearn_nilearn,_load_anat,195
nilearn_nilearn,_get_colorbar_and_data_ranges,39
nilearn_nilearn,plot_surf,91
nilearn_nilearn,test_get_colorbar_and_data_ranges_pos_neg,332
nilearn_nilearn,test_get_colorbar_and_data_ranges_pos_neg,337
nilearn_nilearn,test_get_colorbar_and_data_ranges_masked_array,434
nilearn_nilearn,test_get_colorbar_and_data_ranges_masked_array,439
nilearn_nilearn,test_get_colorbar_and_data_ranges_neg,386
nilearn_nilearn,test_get_colorbar_and_data_ranges_neg,387
nilearn_nilearn,test_get_colorbar_and_data_ranges_neg,396
nilearn_nilearn,test_get_colorbar_and_data_ranges_neg,397
nilearn_nilearn,test_get_colorbar_and_data_ranges_neg,406
nilearn_nilearn,test_get_colorbar_and_data_ranges_neg,407
sunpy_sunpy,MDIMap.__init__,88
librosa_librosa,spectral_rolloff,105
