project, module, line
skimage_skimage,corner_subpix,124
skimage_skimage,match_template,31
skimage_skimage,match_template,33
skimage_skimage,_mean_std,220
skimage_skimage,block_reduce,18
skimage_skimage,func_out,52
skimage_skimage,watershed,50
skimage_skimage,watershed,51
skimage_skimage,watershed,52
skimage_skimage,skeletonize_3d,16
skimage_skimage,_find_boundaries_subpixel,19
skimage_skimage,_sinogram_circle_to_square,66
skimage_skimage,iradon,95
skimage_skimage,radon,43
sunpy_sunpy,GenericMap.rotate,498
sunpy_sunpy,diffrot_map,93
librosa_librosa,_wrap,77
librosa_librosa,onset_strength_multi,87
librosa_librosa,recurrence_to_lag,90
librosa_librosa,zero_crossings,138
librosa_librosa,piptrack,47
librosa_librosa,piptrack,48
librosa_librosa,stft,30
librosa_librosa,phase_vocoder,116
librosa_librosa,tempogram,24
librosa_librosa,rmse,115
librosa_librosa,zero_crossing_rate,138
librosa_librosa,stack_memory,48
librosa_librosa,delta,23
librosa_librosa,pad_center,62
librosa_librosa,fix_length,75
librosa_librosa,localmax,203
librosa_librosa,__test_default_norm,60
librosa_librosa,__test_with_norm,73
librosa_librosa,__test,102
mne_python,_smart_pad,171
mne_python,_sensor_shape,891
