project, module, line
scipy_scipy,kmeans,132
scipy_scipy,_kpoints,147
scipy_scipy,TestIsIsomorphic.help_is_isomorphic_randperm,230
scipy_scipy,TestIsIsomorphic.help_is_isomorphic_randperm,234
scipy_scipy,test_graph_maximum_bipartite_matching,30
scipy_scipy,test_graph_maximum_bipartite_matching,31
scipy_scipy,TestLevene.test_trimmed2,356
scipy_scipy,TestLevene.test_equal_mean_median,367
sklearn_sklearn,test_isotonic_regression,62
pandas_pandas,TestCategorical.test_comparisons,294
pandas_pandas,TestGroupBy.test_int64_overflow,2452
pandas_pandas,TestPanel.test_to_frame,1126
pandas_pandas,TestStyler.setUp,23
pandas_pandas,TestDataFrameAnalytics.test_nlargest,832
pandas_pandas,TestDataFrameAnalytics.test_nlargest_multiple_columns,839
pandas_pandas,TestDataFrameAnalytics.test_nlargest_multiple_columns,839
pandas_pandas,TestDataFrameAnalytics.test_nsmallest_multiple_columns,853
pandas_pandas,TestDataFrameAnalytics.test_nsmallest_multiple_columns,853
pandas_pandas,TestDataFrameAnalytics.test_nsmallest,846
pandas_pandas,TestDataFrameSorting.test_sort_index_different_sortorder,225
pandas_pandas,TestIndex.test_outer_join_sort,1004
pandas_pandas,TestMultiIndex.test_duplicates,1417
pandas_pandas,TestSeriesAnalytics.test_rank_inf,700
pandas_pandas,TestSeriesAnalytics.test_rank,686
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,613
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,642
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,645
pandas_pandas,_permute,2774
pandas_pandas,TestDatetimeIndex.test_resample_not_monotonic,1075
pandas_pandas,TestSlicing.test_min_max,3490
pandas_pandas,TestTimeSeriesDuplicates.test_indexing_unordered,163
pandas_pandas,TestTimeZones.test_arith_utc_convert,1019
pandas_pandas,TestTimeZones.test_arith_utc_convert,1021
pandas_pandas,TestGroupBy.test_int64_overflow,2452
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,613
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,642
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,645
pandas_pandas,TestDatetimeIndex.test_resample_not_monotonic,1075
nilearn_nilearn,test_searchlight,56
project, module, line
scipy_scipy,kmeans,132
scipy_scipy,_kpoints,147
scipy_scipy,TestIsIsomorphic.help_is_isomorphic_randperm,230
scipy_scipy,TestIsIsomorphic.help_is_isomorphic_randperm,234
scipy_scipy,test_graph_maximum_bipartite_matching,30
scipy_scipy,test_graph_maximum_bipartite_matching,31
scipy_scipy,TestLevene.test_trimmed2,356
scipy_scipy,TestLevene.test_equal_mean_median,367
sklearn_sklearn,test_isotonic_regression,62
pandas_pandas,TestCategorical.test_comparisons,294
pandas_pandas,TestGroupBy.test_int64_overflow,2452
pandas_pandas,TestPanel.test_to_frame,1126
pandas_pandas,TestStyler.setUp,23
pandas_pandas,TestDataFrameAnalytics.test_nlargest,832
pandas_pandas,TestDataFrameAnalytics.test_nlargest_multiple_columns,839
pandas_pandas,TestDataFrameAnalytics.test_nlargest_multiple_columns,839
pandas_pandas,TestDataFrameAnalytics.test_nsmallest_multiple_columns,853
pandas_pandas,TestDataFrameAnalytics.test_nsmallest_multiple_columns,853
pandas_pandas,TestDataFrameAnalytics.test_nsmallest,846
pandas_pandas,TestDataFrameSorting.test_sort_index_different_sortorder,225
pandas_pandas,TestIndex.test_outer_join_sort,1004
pandas_pandas,TestMultiIndex.test_duplicates,1417
pandas_pandas,TestSeriesAnalytics.test_rank_inf,700
pandas_pandas,TestSeriesAnalytics.test_rank,686
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,613
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,642
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,645
pandas_pandas,_permute,2774
pandas_pandas,TestDatetimeIndex.test_resample_not_monotonic,1075
pandas_pandas,TestSlicing.test_min_max,3490
pandas_pandas,TestTimeSeriesDuplicates.test_indexing_unordered,163
pandas_pandas,TestTimeZones.test_arith_utc_convert,1019
pandas_pandas,TestTimeZones.test_arith_utc_convert,1021
pandas_pandas,TestGroupBy.test_int64_overflow,2452
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,613
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,642
pandas_pandas,TestMergeMulti.test_int64_overflow_issues,645
pandas_pandas,TestDatetimeIndex.test_resample_not_monotonic,1075
nilearn_nilearn,test_searchlight,56
