project, module, line
astropy_astropy,FitnessFunc.validate_input,41
astropy_astropy,add_at,16
astropy_astropy,test_regular_events,46
astropy_astropy,test_regular_events,46
scipy_scipy,leaders,890
scipy_scipy,BSpline.__init__,50
scipy_scipy,check_splev,272
scipy_scipy,TestPPolyCommon.test_extend,514
scipy_scipy,TestPPoly.test_roots_random,939
scipy_scipy,_select,241
scipy_scipy,_stats,158
scipy_scipy,TestDifferentialEvolutionSolver.test_select_samples,164
scipy_scipy,max_len_seq,16
scipy_scipy,_cs_matrix._insert_many,550
scipy_scipy,_cs_matrix._insert_many,559
scipy_scipy,coo_matrix.todia,174
scipy_scipy,dia_matrix.__init__,67
scipy_scipy,TestConvexHull.check,384
scipy_scipy,TestConvexHull.check,386
scipy_scipy,sorted_unique_tuple,16
scipy_scipy,TestDelaunay.test_coplanar,305
scipy_scipy,TestDelaunay.test_coplanar,307
scipy_scipy,TestDelaunay.check,329
scipy_scipy,TestDelaunay.check,330
scipy_scipy,TestDelaunay.test_joggle,299
scipy_scipy,TestConvexHull.test_vertices_2d,411
scipy_scipy,factorial,728
scipy_scipy,Arg.values,55
scipy_scipy,IntArg.values,86
scipy_scipy,ProbArg.values,30
scipy_scipy,anderson_ksamp,419
scipy_scipy,ks_twosamp,488
scipy_scipy,count_tied_groups,79
scipy_scipy,itemfreq,404
scipy_scipy,mode,100
scipy_scipy,_iqr_percentile,621
scipy_scipy,binned_statistic_dd,125
scipy_scipy,binned_statistic_dd,130
scipy_scipy,binned_statistic_dd,135
scipy_scipy,binned_statistic_dd,148
scipy_scipy,TestBinnedStatistic.test_1d_bincode,95
scipy_scipy,TestBinnedStatistic.test_2d_bincode,217
scipy_scipy,TestBinnedStatistic.test_dd_bincode,320
scipy_scipy,test_discrete_basic,22
scipy_scipy,TestRankData.dense_rank,120
scipy_scipy,TestMode.test_objects,1082
scipy_scipy,TestFOneWay.test_nist,2706
sklearn_sklearn,LeaveOneLabelOut.__init__,207
sklearn_sklearn,StratifiedShuffleSplit.__init__,345
sklearn_sklearn,PredefinedSplit.__init__,385
sklearn_sklearn,_shuffle,576
sklearn_sklearn,LabelShuffleSplit.__init__,402
sklearn_sklearn,_approximate_mode,328
sklearn_sklearn,StratifiedKFold.__init__,169
sklearn_sklearn,LabelKFold.__init__,137
sklearn_sklearn,LeavePLabelOut.__init__,226
sklearn_sklearn,_class_means,44
sklearn_sklearn,_class_cov,52
sklearn_sklearn,LinearDiscriminantAnalysis.fit,135
sklearn_sklearn,QuadraticDiscriminantAnalysis.fit,208
sklearn_sklearn,_translate_train_sizes,57
sklearn_sklearn,learning_curve,34
sklearn_sklearn,OneVsOneClassifier.fit,210
sklearn_sklearn,OutputCodeClassifier.fit,273
sklearn_sklearn,_fit_binary,25
sklearn_sklearn,GaussianNB.fit,49
sklearn_sklearn,GaussianNB._partial_fit,108
sklearn_sklearn,affinity_propagation,73
sklearn_sklearn,AgglomerativeClustering.fit,290
sklearn_sklearn,AgglomerationTransform.inverse_transform,27
sklearn_sklearn,AgglomerationTransform.transform,20
sklearn_sklearn,test_affinity_propagation,28
sklearn_sklearn,test_n_clusters,58
sklearn_sklearn,test_ward_agglomeration,127
sklearn_sklearn,test_ward_agglomeration,131
sklearn_sklearn,test_int_float_dict,237
sklearn_sklearn,test_agglomerative_clustering,93
sklearn_sklearn,test_agglomerative_clustering,102
sklearn_sklearn,test_k_means_function,450
sklearn_sklearn,_check_fitted_model,108
sklearn_sklearn,test_k_means_new_centers,125
